Trial,N,structure_instance_num,structure,num_X_vars,g,g_level,randomize_update_seq,b_distro,b_0_is_zero,normalize_bs,error_variance,normalize_yis,uninformed_rate,g_rate,MA_R2_Adj__t_100,MA-p_value__t_100,Outliers_Dropped__t_100,Max_Y__100,Max_Corr_Y__100,Classification__t_100,MA_R2_Adj__t_250,MA-p_value__t_250,Outliers_Dropped__t_250,Max_Y__250,Max_Corr_Y__250,Classification__t_250,MA_R2_Adj__t_500,MA-p_value__t_500,Outliers_Dropped__t_500,Max_Y__500,Max_Corr_Y__500,Classification__t_500
66,500,2,Directed Random Tree (Reversed),1,125,N/4,False,N01,False,network,0.5,False,0.25,0.25,0.174453,1.0,1.0,24.1582,0.425616,Not Linear,0.154283,1.0,3.0,25.5359,0.26271,Not Linear,0.138809,1.0,3.0,20.1531,0.307444,Not Linear
67,100,10,Scale-Free #2b,5,5,5,False,N01,False,network,0.5,False,0.0,0.05,0.0635639,0.0,7.0,12.0558,0.27514099999999997,Not Linear,0.052349,0.0,6.0,15.8648,0.361244,Not Linear,0.037169,0.0,7.0,15.306,0.167847,Not Linear
68,500,4,Erdos-Renyi Random #1b,44,1,1,False,U-11,False,network,0.5,True,0.25,0.002,0.029201099999999997,0.0,1.0,26.2546,0.298074,Not Linear,-0.0116355,0.0,2.0,22.8513,0.254718,Not Linear,-0.0719978,0.0,0.0,20.721999999999998,0.213317,Not Linear
69,100,12,Random k-out (k=3) #b,3,25,N/4,True,U-11,False,agent,0.5,True,0.25,0.25,0.216523,1.0,24.0,1002.95,0.388525,Not Linear,0.268864,1.0,22.0,1060.1,0.32509899999999997,Not Linear,0.201443,1.0,19.0,1485.13,0.330333,Not Linear
70,100,2,Directed Random Tree (Reversed),1,25,N/4,True,U-11,False,network,1.0,False,0.1,0.25,0.136854,1.0,10.0,24.1575,0.29758,Not Linear,0.155622,1.0,10.0,31.4206,0.44724200000000003,Not Linear,0.142746,1.0,10.0,28.4399,0.47952700000000004,Not Linear
71,100,11,Random k-out (k=3) #a,3,5,5,True,N01,False,agent,0.5,False,0.25,0.05,0.9989870000000001,1.0,48.0,5.609110000000001e+95,0.0,Linear,,0.0,59.0,4.949300000000002e+216,,Invalid,,0.0,94.0,1.5175500000000008e+292,,Invalid
72,100,3,Erdos-Renyi Random #1a,15,1,1,True,N01,False,agent,1.0,True,0.1,0.01,-0.0447599,0.0,16.0,108.946,0.13109200000000001,Not Linear,-0.0129368,0.0,22.0,112.449,0.223206,Not Linear,-0.06161619999999999,0.0,22.0,131.64,0.167167,Not Linear
73,100,14,Random k-out (k=10) #b,10,25,N/4,False,U01,False,network,1.0,True,0.0,0.25,0.584217,1.0,2.0,23.1543,0.56025,Linear,0.540922,1.0,1.0,27.305999999999997,0.388626,Linear,0.609045,1.0,2.0,22.9545,0.505943,Linear
74,100,3,Erdos-Renyi Random #1a,15,25,N/4,False,U01,False,agent,1.0,False,0.1,0.25,0.858727,1.0,2.0,165.946,0.8568959999999999,Linear,0.884265,1.0,1.0,158.418,0.8932370000000001,Linear,0.886067,1.0,0.0,166.19299999999998,0.879647,Linear
75,500,8,Scale-Free #1b,24,1,1,False,U01,False,agent,0.5,False,0.1,0.002,0.976462,1.0,2.0,668.9780000000001,0.9731709999999999,Linear,0.977301,1.0,1.0,683.9119999999999,0.972242,Linear,0.97393,1.0,3.0,681.2310000000001,0.9749389999999999,Linear
76,500,6,Erdos-Renyi Random #2b,99,1,1,False,U01,False,agent,0.5,True,0.25,0.002,,0.0,1.0,34.0709,0.0939729,Invalid,,0.0,0.0,39.6383,0.16428299999999998,Invalid,,0.0,1.0,28.3937,0.14824400000000001,Invalid
77,500,12,Random k-out (k=3) #b,3,125,N/4,True,U-11,False,agent,1.0,True,0.1,0.25,0.214329,1.0,21.0,8150.1,0.397785,Not Linear,0.207339,1.0,23.0,9072.46,0.392208,Not Linear,0.19658499999999998,1.0,18.0,8096.01,0.43268500000000004,Not Linear
